timestamp,frame_id,track_id,class_id,confidence,x1,y1,x2,y2
2026-01-03T06:44:41.149887,0,0,0,0.8369326591491699,640,240,683,322
2026-01-03T06:44:41.149887,0,1,0,0.8324161767959595,253,219,282,308
2026-01-03T06:44:41.149887,0,2,0,0.8121580481529236,499,156,530,231
2026-01-03T06:44:41.149887,0,3,7,0.696875274181366,652,44,722,99
2026-01-03T06:44:41.149887,0,4,2,0.6399455666542053,734,50,767,94
2026-01-03T06:44:41.149887,0,5,14,0.3032713234424591,29,111,49,142
2026-01-03T06:44:41.405322,1,0,0,0.8090667724609375,634,241,682,323
2026-01-03T06:44:41.405322,1,1,0,0.8641052842140198,256,219,301,307
2026-01-03T06:44:41.405322,1,2,0,0.7876815795898438,498,158,530,232
2026-01-03T06:44:41.405322,1,3,7,0.6934110522270203,652,44,722,99
2026-01-03T06:44:41.405322,1,4,2,0.6462567448616028,734,50,767,94
2026-01-03T06:44:41.565216,2,0,0,0.8053916096687317,632,241,674,324
2026-01-03T06:44:41.565216,2,1,0,0.8754756450653076,257,219,305,307
2026-01-03T06:44:41.565216,2,2,0,0.778211236000061,496,159,528,235
2026-01-03T06:44:41.565216,2,3,7,0.6946125626564026,652,43,722,99
2026-01-03T06:44:41.565216,2,4,2,0.6805859804153442,734,50,767,94
2026-01-03T06:44:41.565216,2,5,14,0.2970934510231018,29,111,49,141
2026-01-03T06:44:41.735150,3,0,0,0.8042128682136536,618,239,649,323
2026-01-03T06:44:41.735150,3,1,0,0.8124395608901978,273,216,307,302
2026-01-03T06:44:41.735150,3,2,0,0.7981571555137634,493,160,522,236
2026-01-03T06:44:41.735150,3,3,7,0.6878445148468018,652,44,722,99
2026-01-03T06:44:41.735150,3,4,2,0.6885554790496826,734,50,767,94
2026-01-03T06:44:41.735150,3,5,14,0.33115237951278687,29,111,49,141
2026-01-03T06:44:41.882971,4,0,0,0.8511095643043518,598,241,646,324
2026-01-03T06:44:41.882971,4,1,0,0.8117035031318665,279,214,315,301
2026-01-03T06:44:41.882971,4,2,0,0.7912309169769287,493,161,518,237
2026-01-03T06:44:41.882971,4,3,7,0.6810794472694397,652,43,722,99
2026-01-03T06:44:41.882971,4,4,2,0.6849550604820251,734,50,767,94
2026-01-03T06:44:41.882971,4,5,14,0.36238718032836914,29,111,49,141
2026-01-03T06:44:42.037803,5,1,0,0.8433706164360046,280,211,321,301
2026-01-03T06:44:42.037803,5,2,0,0.8179361820220947,487,162,516,239
2026-01-03T06:44:42.037803,5,3,7,0.7024110555648804,652,43,722,99
2026-01-03T06:44:42.037803,5,4,2,0.6903789043426514,734,50,767,94
2026-01-03T06:44:42.037803,5,5,14,0.3027513027191162,29,111,49,141
2026-01-03T06:44:42.179004,6,0,0,0.7542024850845337,590,239,631,324
2026-01-03T06:44:42.179004,6,1,0,0.8395643830299377,285,213,327,301
2026-01-03T06:44:42.179004,6,2,0,0.8020241260528564,484,164,514,241
2026-01-03T06:44:42.179004,6,3,7,0.7116938829421997,652,43,722,99
2026-01-03T06:44:42.179004,6,4,2,0.6758943796157837,734,50,767,94
2026-01-03T06:44:42.179004,6,5,14,0.4504818916320801,29,111,49,141
2026-01-03T06:44:42.324686,7,1,0,0.8497555255889893,293,211,331,299
2026-01-03T06:44:42.324686,7,2,0,0.7507482171058655,482,163,512,242
2026-01-03T06:44:42.324686,7,3,7,0.6961095333099365,652,43,722,99
2026-01-03T06:44:42.324686,7,4,2,0.685027539730072,734,50,767,94
2026-01-03T06:44:42.324686,7,5,14,0.42104750871658325,29,111,49,141
2026-01-03T06:44:42.447413,8,0,0,0.7797977924346924,571,237,605,324
2026-01-03T06:44:42.447413,8,1,0,0.821294367313385,301,209,332,297
2026-01-03T06:44:42.447413,8,2,0,0.7891204953193665,477,164,507,241
2026-01-03T06:44:42.447413,8,3,7,0.6864081621170044,652,43,722,99
2026-01-03T06:44:42.447413,8,4,2,0.6932616829872131,734,50,767,94
2026-01-03T06:44:42.447413,8,5,14,0.4408511817455292,29,111,49,141
2026-01-03T06:44:42.602885,9,2,0,0.7815158367156982,471,163,503,242
2026-01-03T06:44:42.602885,9,3,7,0.6814637780189514,652,43,722,99
2026-01-03T06:44:42.602885,9,4,2,0.6986002922058105,734,50,767,94
2026-01-03T06:44:42.602885,9,5,14,0.42623719573020935,29,111,49,141
2026-01-03T06:44:42.602885,9,6,0,0.3722352385520935,751,368,767,411
2026-01-03T06:44:42.791399,10,0,0,0.749686062335968,549,237,582,323
2026-01-03T06:44:42.791399,10,3,7,0.6674136519432068,652,43,722,99
2026-01-03T06:44:42.791399,10,4,2,0.6880995035171509,734,50,767,94
2026-01-03T06:44:42.791399,10,5,14,0.40347644686698914,29,111,49,141
2026-01-03T06:44:42.791399,10,7,0,0.2771586775779724,746,299,767,409
2026-01-03T06:44:42.917150,11,3,7,0.669278085231781,652,43,722,99
2026-01-03T06:44:42.917150,11,4,2,0.685696005821228,734,50,767,94
2026-01-03T06:44:42.917150,11,5,14,0.4247879981994629,29,111,49,141
2026-01-03T06:44:42.917150,11,7,0,0.7058879733085632,746,299,767,409
2026-01-03T06:44:43.043939,12,0,0,0.8018147349357605,524,237,564,324
2026-01-03T06:44:43.043939,12,2,0,0.7353262901306152,461,168,488,246
2026-01-03T06:44:43.043939,12,3,7,0.6789388060569763,652,44,722,99
2026-01-03T06:44:43.043939,12,4,2,0.679252028465271,734,50,767,94
2026-01-03T06:44:43.043939,12,5,14,0.44213369488716125,29,111,49,141
2026-01-03T06:44:43.043939,12,7,0,0.7854674458503723,738,296,767,406
2026-01-03T06:44:43.195265,13,3,7,0.6712571382522583,652,44,722,99
2026-01-03T06:44:43.195265,13,4,2,0.6853383183479309,734,50,767,94
2026-01-03T06:44:43.195265,13,5,14,0.43726950883865356,29,111,49,141
2026-01-03T06:44:43.195265,13,7,0,0.8180491924285889,724,293,767,406
2026-01-03T06:44:43.333852,14,0,0,0.7592116594314575,507,235,536,322
2026-01-03T06:44:43.333852,14,3,7,0.6721321940422058,652,44,722,99
2026-01-03T06:44:43.333852,14,4,2,0.6806690096855164,734,50,767,94
2026-01-03T06:44:43.333852,14,5,14,0.44098883867263794,29,111,49,141
2026-01-03T06:44:43.333852,14,7,0,0.8134111762046814,719,290,766,406
2026-01-03T06:44:43.469963,15,0,0,0.7495239973068237,498,234,525,321
2026-01-03T06:44:43.469963,15,2,0,0.7448070049285889,441,172,478,248
2026-01-03T06:44:43.469963,15,3,7,0.6799815893173218,652,44,722,99
2026-01-03T06:44:43.469963,15,4,2,0.6841968894004822,734,50,767,94
2026-01-03T06:44:43.469963,15,5,14,0.4235185384750366,29,111,50,141
2026-01-03T06:44:43.469963,15,8,0,0.3599287271499634,439,172,458,249
2026-01-03T06:44:43.614738,16,0,0,0.7810046076774597,480,235,523,321
2026-01-03T06:44:43.614738,16,3,7,0.678747296333313,652,44,722,99
2026-01-03T06:44:43.614738,16,4,2,0.688713550567627,734,50,767,94
2026-01-03T06:44:43.614738,16,5,14,0.4337145686149597,29,111,49,141
2026-01-03T06:44:43.614738,16,9,0,0.2538183927536011,757,282,767,382
